# effectId	lifespanMs  (from uaRO.exe DAT_006d9100, VA 0x6D9100 / file off 0x2D9100; INF=0x05F5E0FF)
0	50
1	50
2	50
3	50
4	50
5	50
6	100
7	50
8	80
9	80
10	100
11	80
12	40
13	9999
14	50
15	100
16	40
17	30
18	50
19	50
20	100
21	100
22	270
23	999
24	100
25	40
26	160
27	150
28	100
29	200
30	104
31	160
32	100
33	200
34	100
35	100
36	100
37	100
38	100
39	100
40	999
41	999
42	150
43	100
44	50
45	100
46	180
47	250
48	130
49	50
50	50
51	50
52	40
53	50
54	40
55	40
56	40
57	40
58	40
59	40
60	200
61	250
62	250
63	250
64	999
65	999
66	999
67	999
68	999
69	9999
70	999
71	250
72	500
73	250
74	250
75	999
76	999
77	999
78	999
79	250
80	250
81	250
82	250
83	999
84	999
85	999
86	999
87	999
88	999
89	9999
90	9999
91	9999
92	9999
93	250
94	250
95	150
96	9999
97	9999
98	250
99	250
100	70
101	9999
102	9999
103	999
104	999
105	250
106	9999
107	9999
108	9999
109	9999
110	9999
111	9999
112	999
113	9999
114	350
115	250
116	250
117	100
118	250
119	250
120	250
121	40
122	250
123	250
124	9999
125	250
126	9999
127	9999
128	250
129	9999
130	9999
131	9999
132	250
133	9999
134	9999
135	9999
136	80
137	350
138	8000
139	9999
140	250
141	9999
142	250
143	999
144	999
145	32797
146	999
147	999
148	999
149	999
150	999
151	999
152	100
153	999
154	999
155	999
156	999
157	999
158	999
159	9999
160	9999
161	0
162	INF
163	INF
164	9999
165	1000
166	9999
167	999
168	999
169	9999
170	999
171	9999
172	100
173	100
174	100
175	100
176	100
177	100
178	100
179	100
180	50
181	9999
182	9999
183	9999
184	0
185	9999
186	9999
187	9999
188	9999
189	9999
190	9999
191	9999
192	9999
193	9999
194	9999
195	9999
196	150
197	9999
198	0
199	9999
200	INF
201	INF
202	INF
203	99999
204	100
205	100
206	100
207	100
208	100
209	100
210	100
211	100
212	500
213	9999
214	9999
215	500
216	200
217	200
218	199
219	199
220	199
221	150
222	200
223	300
224	300
225	300
226	999
227	999
228	999999
229	INF
230	INF
231	999
232	99999
233	INF
234	999
235	999
236	999
237	999
238	999
239	29999
240	29999
241	29999
242	29999
243	9999
244	499
245	499
246	499
247	999
248	200
249	499
250	9999
251	150
252	200
253	100
254	INF
255	999
256	999
257	999
258	999
259	999
260	999
261	300
262	300
263	300
264	300
265	300
266	300
267	16
268	300
269	300
270	300
271	300
272	300
273	300
274	300
275	300
276	300
277	29999
278	29999
279	29999
280	29999
281	29999
282	29999
283	29999
284	29999
285	29999
286	29999
287	29999
288	29999
289	29999
290	29999
291	29999
292	29999
293	29999
294	29999
295	999
296	999
297	INF
298	300
299	300
300	300
301	INF
302	99999
303	300
304	200
305	90
306	90
307	36000
308	200
309	299
310	300
311	300
312	100
313	100
314	200
315	9999
316	200
317	9999
318	9999
319	9999
320	100
321	INF
322	36000
323	36000
324	36000
325	100
326	340
327	340
328	1000
329	100
330	200
331	300
332	300
333	INF
334	INF
335	INF
336	200
337	200
338	200
339	100
340	3000
341	9999
342	1000
343	1000
344	100
345	INF
346	INF
347	9999
348	1000
349	INF
350	INF
351	INF
352	INF
353	INF
354	INF
355	INF
356	INF
357	INF
358	4000
359	4000
360	4000
361	300
362	INF
363	100
364	100
365	300
366	200
367	60
368	99999
369	99999
370	19999
371	200
372	200
373	50
374	29999
