weaponType	spriteSuffix	hitWav
0		_hit_mace.wav
1	_단검	_hit_sword.wav
2	_검	_hit_sword.wav
3	_양손검	_hit_sword.wav
4	_창	_hit_spear.wav
5	_양손창	_hit_spear.wav
6	_도끼	_hit_axe.wav
7	_양손도끼	_hit_axe.wav
8	_클럽	_hit_mace.wav
9	_클럽	_hit_mace.wav
10	_롯드	_hit_rod.wav
11	_활	_hit_arrow.wav
12	_너클	_hit_mace.wav
13	_악기	_hit_mace.wav
14	_채찍	_hit_mace.wav
15	_책	_hit_mace.wav
16	_카타르_카타르	_hit_mace.wav
17	_권총	_hit_권총.wav
18	_라이플	_hit_라이플.wav
19	_기관총	_hit_개틀링한발.wav
20	_샷건	_hit_샷건.wav
21	_샷건	_hit_그레네이드런쳐.wav
22	_수리검	_hit_mace.wav
23	_롯드	_hit_rod.wav
25	_단검_단검	_hit_mace.wav
26	_검_검	_hit_mace.wav
27	_도끼_도끼	_hit_mace.wav
28	_단검_검	_hit_mace.wav
29	_단검_도끼	_hit_mace.wav
30	_검_도끼	_hit_mace.wav
31	_1207	
32	_1216	
33	_1219	
34	_1238	
35	_1239	
36	_1240	
37	_1144	
38	_13049	
39	_1119	
40	_1122	
41	_1123	
42	_1126	
43	_1142	
44	_1143	
45	_13412	
46	_13413	
47	_13428	
48	_1116	
49	_1154	
50	_1160	
51	_1185	
52	_1410	
53	_1457	
54	_1460	
55	_1463	
56	_1466	
57	_1468	
58	_1354	
59	_1357	
60	_1363	
61	_1366	
62	_1504	
63	_1516	
64	_1519	
65	_1522	
66	_1524	
67	_1529	
68	_1531	
69	_1610	
70	_1613	
71	_1614	
72	_1615	
73	_1710	
74	_1713	
75	_1714	
76	_1718	
77	_1720	
78	_1801	
79	_1803	
80	_1805	
81	_1807	
82	_1809	
83	_1811	
84	_1813	
85	_1814	
86	_1956	
87	_1958	
88	_1960	
89	_1550	
90	_1553	
91	_1554	
92	_1555	
93	_1556	
94	_1557	
95	_1558	
96	_1472	
97	_1473	
98	_16039	
99	_강아지풀_갈색	
100	_강아지풀_녹색	
101	_캔디케인롯드	
102	_강아지풀_메탈	
