# JobNameTable (n=4891) from jobname.lub
JT_14_3_MERCENARY_A	14_3_MERCENARY_A
JT_14_3_MERCENARY_B	14_3_MERCENARY_B
JT_1_CLB_DT_ASTRID	1_CLB_DT_ASTRID
JT_1_CLB_DT_BARF_BELCH	1_CLB_DT_BARF_BELCH
JT_1_CLB_DT_HICCUP	1_CLB_DT_HICCUP
JT_1_CLB_DT_RUFFNUT	1_CLB_DT_RUFFNUT
JT_1_CLB_DT_STORMFLY	1_CLB_DT_STORMFLY
JT_1_CLB_DT_TOOTHLESS	1_CLB_DT_TOOTHLESS
JT_1_CLB_DT_TUFFNUT	1_CLB_DT_TUFFNUT
JT_1_ETC_01	1_ETC_01
JT_1_FLAG_EAGLE	1_FLAG_EAGLE
JT_1_FLAG_LION	1_FLAG_LION
JT_1_FLAG_NOFEAR	1_FLAG_NOFEAR
JT_1_F_01	1_F_01
JT_1_F_02	1_F_02
JT_1_F_03	1_F_03
JT_1_F_04	1_F_04
JT_1_F_GYPSY	1_F_GYPSY
JT_1_F_LIBRARYGIRL	1_F_LIBRARYGIRL
JT_1_F_MARIA	1_F_MARIA
JT_1_F_MERCHANT_01	1_F_MERCHANT_01
JT_1_F_MERCHANT_02	1_F_MERCHANT_02
JT_1_F_ORIENT_01	1_F_ORIENT_01
JT_1_F_ORIENT_02	1_F_ORIENT_02
JT_1_F_ORIENT_03	1_F_ORIENT_03
JT_1_F_ORIENT_04	1_F_ORIENT_04
JT_1_F_PRIEST	1_F_PRIEST
JT_1_F_PUBGIRL	1_F_PUBGIRL
JT_1_F_SIGNZISK	1_F_SIGNZISK
JT_1_JOURNEY_STONE_F	1_journey_stone_f
JT_1_M_01	1_M_01
JT_1_M_02	1_M_02
JT_1_M_03	1_M_03
JT_1_M_04	1_M_04
JT_1_M_BARD	1_M_BARD
JT_1_M_HOF	1_M_HOF
JT_1_M_INNKEEPER	1_M_INNKEEPER
JT_1_M_JOBGUIDER	1_M_JOBGUIDER
JT_1_M_JOBTESTER	1_M_JOBTESTER
JT_1_M_KNIGHTMASTER	1_M_KNIGHTMASTER
JT_1_M_LIBRARYMASTER	1_M_LIBRARYMASTER
JT_1_M_MERCHANT	1_M_MERCHANT
JT_1_M_MOC_LORD	1_M_MOC_LORD
JT_1_M_ORIENT01	1_M_ORIENT01
JT_1_M_PASTOR	1_M_PASTOR
JT_1_M_PAY_ELDER	1_M_PAY_ELDER
JT_1_M_PRON_KING	1_M_PRON_KING
JT_1_M_PUBMASTER	1_M_PUBMASTER
JT_1_M_SIGN1	1_M_SIGN1
JT_1_M_SIGNALCHE	1_M_SIGNALCHE
JT_1_M_SIGNART	1_M_SIGNART
JT_1_M_SIGNMCNT	1_M_SIGNMCNT
JT_1_M_SIGNMONK	1_M_SIGNMONK
JT_1_M_SIGNMONK2	1_M_SIGNMONK2
JT_1_M_SIGNROGUE	1_M_SIGNROGUE
JT_1_M_SIZ	1_M_SIZ
JT_1_M_SMITH	1_M_SMITH
JT_1_M_WIZARD	1_M_WIZARD
JT_1_M_YOUNGKNIGHT	1_M_YOUNGKNIGHT
JT_1_RAGFES_01	1_ragfes_01
JT_1_SHADOW_NPC	1_SHADOW_NPC
JT_20TH_GATE_GREEN_S	invisible
JT_20TH_GATE_PURPLE_S	invisible
JT_2_BOARD1	2_BOARD1
JT_2_BOARD2	2_BOARD2
