# PetNameTable (n=124) from petinfo.lub
JT_ALICE	alice
JT_ALICEL	ALICEL
JT_ALIOT	ALIOT
JT_AM_MUT	am_mut
JT_ANCIENT_MUMMY	ancient_mummy
JT_ANGELGOLT	ANGELGOLT
JT_ANGELING	angeling
JT_BACSOJIN2	bacsojin2
JT_BACSOJIN_	BACSOJIN_
JT_BAPHOMET2	BAPHOMET2
JT_BAPHOMET_	baphomet_j
JT_BLUEMOON_LOLI_RURI2	BLUEMOON_LOLI_RURI2
JT_BLUE_UNICORN	BLUE_UNICORN
JT_BON_GUN	bon_gun
JT_CAT_O_NINE_TAIL	cat_o_nine_tail
JT_CHOCO	choco
JT_CHONCHON	chonchon
JT_CHUNG_E	CHUNG_E
JT_CHUNG_E_	CHUNG_E
JT_CIVIL_SERVANT	CIVIL_SERVANT
JT_CLB_SS_FC	CLB_SS_FC
JT_CLB_SS_TZ	CLB_SS_TZ
JT_CLOCK	Clock
JT_CWHITEKNIGHT	CWHITEKNIGHT
JT_C_TOWER_MANAGER2	C_Tower_Manager
JT_DARK_PRIEST	DARK_PRIEST
JT_DELETER_	deleter_
JT_DELETER_2	deleter_2
JT_DESERT_WOLF_B	desert_wolf_babe
JT_DEVIRUCHI	deviruchi
JT_DIABOLIC	diabolic
JT_DIABOLIC2	diabolic2
JT_DOKEBI	dokebi
JT_DOMOVOI	DOMOVOI
JT_DROPS	drops
JT_DR_EGGRING	dr_eggring
JT_DR_LUNATIC	dr_lunatic
JT_DULLAHAN	DULLAHAN
JT_ECLIPSE_P	ECLIPSE_P
JT_EP17_2_CHILD_ADMIN1	child_admin_b
JT_EP17_2_CHILD_ADMIN2	child_admin_a
JT_EP20_COPO	ep20_copo
JT_EP20_ICEWIND1	ep20_icewind1
JT_EP20_ICEWIND2	ep20_icewind2
JT_EVENT_RICECAKE	event_ricecake
JT_FIRE_GOLEM	FIRE_GOLEM
JT_GIANT_HONET2	GIANT_HONET
JT_GLOOMUNDERNIGHT2	gloomundernight2
JT_GOBLINE_XMAS	gobline_xmas
JT_GOBLIN_1	goblin_1
JT_GOBLIN_2	goblin_2
JT_GOBLIN_4	goblin_4
JT_GOBLIN_LEADER	GOBLIN_LEADER
JT_GOLEM	GOLEM
JT_GRAND_PECO	grand_peco
JT_GREMLIN	gremlin
JT_HIGH_ORC	high_orc
JT_HODREMLIN	hodremlin
JT_HORNET	Hornet
JT_HUNTER_FLY	hunter_fly
JT_HYEGUN	hyegun
JT_ILL_BAPHOMET_J	ILL_BAPHOMET_J
JT_IMP	IMP
JT_INCUBUS	INCUBUS
JT_ISIS	isis
JT_J_TAINI	J_TAINI
JT_LEAF_CAT	LEAF_CAT
JT_LITTLE_ISIS	LITTLE_ISIS
JT_LITTLE_PORING	LITTLE_PORING
JT_LOLI_RURI	LOLI_RURI
JT_LUNATIC	lunatic
JT_MARIN	MARIN
JT_MARIONETTE	MARIONETTE
JT_MASTERING	mastering
JT_MEDUSA	MEDUSA
JT_METALLER	metaller
JT_MISTRESS3	MISTRESS2
JT_MIYABI_NINGYO	MIYABI_NINGYO
JT_MOONLIGHT	moonlight
JT_MUMMY	mummy
JT_MUNAK	munak
JT_NIGHTMARE_TERROR	NIGHTMARE_TERROR
JT_NIGHTMARE_TERROR_H	nightmare_terror_mj
JT_NINE_TAIL	nine_tail
JT_ORK_HERO2	ORK_HERO2
JT_ORK_WARRIOR	ork_warrior
JT_PECOPECO	pecopeco
JT_PETIT	petit
JT_PHREEONI	phreeoni
JT_PHREEONI2	phreeoni
JT_PICKY	picky
JT_POISON_SPORE	poison_spore
JT_POPORING	poporing
JT_PORING	poring
JT_P_CHUNG_E	P_CHUNG_E
JT_ROCKER	rocker
JT_ROWEEN	roween
JT_SAVAGE	savage
JT_SAVAGE_BABE	savage_babe
JT_SCATLETON	scatleton
JT_SHINOBI	SHINOBI
JT_SKEGGIOLD	SKEGGIOLD
JT_SKELION	SKELION
JT_SMOKIE	smokie
JT_SOHEE	sohee
JT_SPORE	spore
JT_STEEL_CHONCHON	steel_chonchon
JT_STONE_SHOOTER	STONE_SHOOTER
JT_SUCCUBUS	SUCCUBUS
JT_TEDDY_BEAR	teddy_bear
JT_TIKBALANG	TIKBALANG
JT_TIMEHOLDER3	TIMEHOLDER2
JT_VR_CHAO	VR_CHAO
JT_WANDERING_DUCK	WANDERING_DUCK
JT_WANDER_MAN	wander_man
JT_WANDER_MAN_H	wander_man_mj
JT_WHISPER	WHISPER
JT_WICKED_NYMPH	WICKED_NYMPH
JT_WILD_ROSE3	WILD_ROSE3
JT_WILOW	wilow
JT_XMAS_LUNATIC	JT_XMAS_LUNATIC
JT_XM_TEDDY_BEAR	xm_teddy_bear
JT_YOYO	yoyo
JT_ZHERLTHSH	zherlthsh
