# PetStringTable (n=127) from petinfo.lub
JT_ALICE	Alice
JT_ALICEL	Alicel
JT_ALIOT	Aliot
JT_AM_MUT	Am Mut
JT_ANCIENT_MUMMY	Ancient Mumm
JT_ANGELGOLT	AngelGolt
JT_ANGELING	Angeling
JT_BACSOJIN2	Bacsojin
JT_BACSOJIN_	White Lady
JT_BAPHOMET2	Baphomet
JT_BAPHOMET_	Baphomet Jr.
JT_BLUEMOON_LOLI_RURI2	Blue Moon Loli Ruri
JT_BLUE_UNICORN	Blue Unicorn
JT_BON_GUN	Bongun
JT_CAT_O_NINE_TAIL	Cat O' Nine Tails
JT_CHOCO	Choco
JT_CHONCHON	Chonchon
JT_CHUNG_E_	Green Maiden
JT_CIVIL_SERVANT	Mao Guai
JT_CLB_SS_FC	Fei-Chai
JT_CLB_SS_TZ	Tai-Zi
JT_CLOCK	Clock
JT_CWHITEKNIGHT	Mutated White Knight
JT_C_TOWER_MANAGER2	Clock Tower Manager
JT_DARK_PRIEST	Dark Priest
JT_DELETER_	Deleter
JT_DELETER_2	Deleter
JT_DESERT_WOLF_B	Baby Desert Wolf
JT_DEVIRUCHI	Deviruchi
JT_DIABOLIC	Diabolic
JT_DIABOLIC2	Diabolic
JT_DOKEBI	Dokebi
JT_DROPS	Drops
JT_DR_EGGRING	Eggring
JT_DR_LUNATIC	Leaf Lunatic
JT_DULLAHAN	Dullahan
JT_ECLIPSE_P	Jade Rabbit
JT_ELEPHANT	Elephant
JT_EP17_2_CHILD_ADMIN1	Little Master Beta
JT_EP17_2_CHILD_ADMIN2	Little Master Alpha
JT_EP20_COPO	Copo
JT_EP20_ICEWIND1	Gray Icewind
JT_EP20_ICEWIND2	Icewind
JT_EVENT_RICECAKE	Hot Rice Cake
JT_FIRE_GOLEM	Fire Golem
JT_GIANT_HONET2	Giant Hornet
JT_GLOOMUNDERNIGHT2	Gloom Under Night
JT_GOBLINE_XMAS	Goblin
JT_GOBLIN_1	Goblin
JT_GOBLIN_2	Goblin
JT_GOBLIN_4	Goblin
JT_GOBLIN_LEADER	Goblin Leader
JT_GOLEM	Golem
JT_GORILLA	Gorilla
JT_GRAND_PECO	Grand Peco
JT_GREMLIN	Gremlin
JT_HIGH_ORC	High Orc
JT_HODREMLIN	Hodremlin
JT_HORNET	Honet
JT_HUNTER_FLY	Hunter Fly
JT_HYEGUN	Yao Ju
JT_ILL_BAPHOMET_J	Chaos Baphomet Jr.
JT_IMP	Imp
JT_INCUBUS	Incubus
JT_ISIS	Isis
JT_J_TAINI	Taini
JT_LEAF_CAT	Leaf Cat
JT_LION	Lion
JT_LITTLE_ISIS	Little Isis
JT_LITTLE_PORING	Little Poring
JT_LOLI_RURI	Loli Ruri
JT_LUNATIC	Lunatic
JT_MARIN	Marina
JT_MARIONETTE	Marionette
JT_MASTERING	Mastering
JT_MEDUSA	Medusa
JT_METALLER	Metaller
JT_MISTRESS3	Mistress
JT_MIYABI_NINGYO	Miyabi Doll
JT_MOONLIGHT	Moonlight Flower
JT_MUMMY	Mummy
JT_MUNAK	Munak
JT_NIGHTMARE_TERROR	Nightmare Terror
JT_NIGHTMARE_TERROR_H	Stiff Nightmare Terror
JT_NINE_TAIL	Nine Tail
JT_ORK_HERO2	Orc Hero
JT_ORK_WARRIOR	Orc Warrior
JT_PECOPECO	Peco Peco
JT_PETIT	Petite
JT_PHREEONI	Phreeoni
JT_PHREEONI2	Phreeoni
JT_PICKY	Picky
JT_POISON_SPORE	Poison Spore
JT_POPORING	Poporing
JT_PORING	Poring
JT_P_CHUNG_E	New Year Doll
JT_RHINO	Rhino
JT_ROCKER	Rocker
JT_ROWEEN	Roween
JT_SAVAGE	Savage
JT_SAVAGE_BABE	Savage Babe
JT_SCATLETON	Skelly Cat
JT_SHINOBI	Shinobi
JT_SKEGGIOLD	Skeggiold
JT_SKELION	Skelion
JT_SMOKIE	Smokie
JT_SOHEE	Sohee
JT_SPORE	Spore
JT_STEEL_CHONCHON	Steel Chonchon
JT_STONE_SHOOTER	Stone Shooter
JT_SUCCUBUS	Succubus
JT_TEDDY_BEAR	Teddy Bear
JT_TIKBALANG	Tikbalang
JT_TIMEHOLDER3	Time Holder
JT_VR_CHAO	Chao
JT_WANDERING_DUCK	Wandering Duck Doll
JT_WANDER_MAN	Wanderer
JT_WANDER_MAN_H	Contaminated Wander Man
JT_WHISPER	Whisper
JT_WICKED_NYMPH	Evil Nymph
JT_WILD_ROSE3	Wild Rose
JT_WILOW	Willow
JT_WOODIE	Woodie
JT_XMAS_LUNATIC	Christmas Snow Rabbit
JT_XM_TEDDY_BEAR	Abandoned Teddy Bear
JT_YOYO	Yoyo
JT_ZHERLTHSH	Zealotus
