# RobeNameTable_Eng (n=315) from spriterobename.lub
ROBE_2018_RTC_Cape1_TW	2018_RTC_Cape1_TW
ROBE_2018_RTC_Cape2_TW	2018_RTC_Cape2_TW
ROBE_2018_RTC_Cape3_TW	2018_RTC_Cape3_TW
ROBE_2018_RTC_Cape4_TW	2018_RTC_Cape4_TW
ROBE_2022RTC_V_Coat1	2022RTC_V_Coat1
ROBE_2022RTC_V_Coat2	2022RTC_V_Coat2
ROBE_2022RTC_V_Coat3	2022RTC_V_Coat3
ROBE_2023RTC_S_Robe1	2023RTC_S_Robe1
ROBE_2023RTC_S_Robe2	2023RTC_S_Robe2
ROBE_2023RTC_S_Robe3	2023RTC_S_Robe3
ROBE_2023RTC_S_Robe4	2023RTC_S_Robe4
ROBE_AMISTR_BAG	AMISTR_BAG
ROBE_AngelRibbonWing	AngelRibbonWing
ROBE_Angel_feather	Angel_feather
ROBE_Angelwing_move_Test_24F	Angelwing_move_Test_24F
ROBE_Angelwing_move_Test_8F	Angelwing_move_Test_8F
ROBE_Arcanum_Corvus_Corax	Arcanum_Corvus_Corax
ROBE_Archangel_Wing	Archangel_Wing
ROBE_BAG_OF_ADVENTURER	BAG_OF_ADVENTURER
ROBE_BAG_OF_ANTONIO	Bag_Of_Antonio
ROBE_Backside_Ribbon_Bell	Backside_Ribbon_Bell
ROBE_Balloon_Wing	Balloon_Wing
ROBE_BlackBearBackpack	BlackBearBackpack
ROBE_BlackCatBag	BlackCatBag
ROBE_Blue_Fairy_Wing	Blue_Fairy_Wing
ROBE_Bow_On_the_Back	Bow_On_the_Back
ROBE_C_2018_RTC_Cape_TW	C_2018_RTC_Cape_TW
ROBE_C_2022RTC_V_Coat4	C_2022RTC_V_Coat4
ROBE_C_2025RosFesta	C_2025RosFesta
ROBE_C_20th_Anniversary_Wing	C_20th_Anniversary_Wing
ROBE_C_3color_dumplings_P	C_3color_dumplings_P
ROBE_C_Adventure_Cat_Bag	C_Adventure_Cat_Bag
ROBE_C_Adventures_Backpack	C_Adventures_Backpack
ROBE_C_Alice_Broom	C_Alice_Broom
ROBE_C_Ancient_Dragon_Spear	C_Ancient_Dragon_Spear
ROBE_C_Angel_Gift	C_Angel_Gift
ROBE_C_Aqua_Fin_Decoration	C_Aqua_Fin_Decoration
ROBE_C_Archmage_Wand	C_Archmage_Wand
ROBE_C_Astra_Blessing	C_Astra_Blessing
ROBE_C_B_Ninetail_Tail	C_B_Ninetail_Tail
ROBE_C_Back_Ribbon_Bell_BU	C_Back_Ribbon_Bell_BU
ROBE_C_Baldr_Wing_TW	C_Baldr_Wing_TW
ROBE_C_Baphomet_Scythe	C_Baphomet_Scythe
ROBE_C_Beer_Server	C_Beer_Server
ROBE_C_Big_B_Rabbit	C_Big_B_Rabbit
ROBE_C_Big_Foxtail	C_Big_Foxtail
ROBE_C_Big_Hosangto	C_Big_Hosangto
