# StateIconList (n=416) from stateiconinfo.lub
EFST_2011RWC	{descript=[[응원 폭죽,[155,202,155]],[%s,[255,176,98]],[모든 스테이터스 증가],[ATK, MATK 증가]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_2011RWC_SCROLL	{descript=[[레드 부스터,[155,202,155]],[%s,[255,176,98]],[ATK, MATK 증가],[공격속도 증가],[변동 캐스팅 감소],[물리, 마법 공격 시 일정 확률로],[집중력 향상 스킬 발동]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_2013_VALENTINE1	{descript=[[LUK 증가],[%s,[255,176,98]]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_2013_VALENTINE2	{descript=[[ATK, MATK %증가],[%s,[255,176,98]]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_2013_VALENTINE3	{descript=[[HP, SP 회복력 향상],[%s,[255,176,98]]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ABUNDANCE	{descript=[[우르즈 룬 스톤 ;  어번던스 (Abundance),[155,202,155]],[%s,[255,176,98]],[10초당 일정량의 SP 회복]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_AB_SECRAMENT	{descript=[[세크라멘트 (SECRAMENT / 성사 ; 聖事),[155,202,155]],[%s,[255,176,98]],[캐스팅 시간 감소]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ACARAJE	{descript=[[아까라제,[155,202,155]],[%s,[255,176,98]],[공격속도, HIT 증가]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ACCELERATION	{descript=[[액셀레이션,[155,202,155]],[%s,[255,176,98]],[마도 기어의 이동속도 증가]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ACUO_MINT_GUM	{descript=[[ACUO 껌,[155,202,155]],[%s,[255,176,98]],[ATK, MATK 증가]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ADORAMUS	{descript=[[아도라무스 (ADORAMUS / 찬미가),[155,202,155]],[%s,[255,176,98]],[암흑과 민첩성 감소 상태]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ADRENALINE	{descript=[[아드레날린 러쉬(Adrenaline Rush),[155,202,155]],[%s,[255,176,98]],[도끼와 둔기류 무기],[공격속도 증가]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ADRENALINE2	{descript=[[풀 아드레날린러쉬,[155,202,155]],[%s,[255,176,98]],[활을 제외한 무기의 공격속도 증가]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_AKAITSUKI	{descript=[[불길한 붉은 달빛,[250,100,100]],[%s,[255,176,98]],[특정 HP 회복 스킬이],[회복 대신 데미지를 입는 상태]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ALL_RIDING	{descript=[[탑승 상태,[190,190,250]]]}
EFST_ALMIGHTY	{descript=[[올마이티,[155,202,155]],[ATK, MATK 증가],[%s,[255,176,98]]];haveTimeLimit=1;posTimeLimitStr=3}
EFST_ANALYZE	{descript=[[애널라이즈,[155,202,155]],[%s,[255,176,98]],[물리, 마법 방어력 감소]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ANGELUS	{descript=[[안젤루스(Angelus),[155,202,155]],[%s,[255,176,98]],[방어력 증가]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ANGEL_PROTECT	{descript=[[천사의 수호,[155,202,155]],[%s,[255,176,98]],[HP, SP 회복속도 상승]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ANTI_M_BLAST	{descript=[[안티 매터리얼 블래스트,[250,100,100]],[%s,[255,176,98]],[무속성 내성 감소]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ARCWANDCLAN	{descript=[[아크완드 클랜,[155,202,155]],[INT + 1, DEX + 1],[MHP + 30, MSP + 10]]}
EFST_ARMOR_PROPERTY	{descript=[[속성 변화 스크롤,[155,202,155]],[%s,[255,176,98]],[속성 변화 상태]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ASPERSIO	{descript=[[아스페르시오(Aspersio),[155,202,155]],[%s,[255,176,98]],[무기에 성속성 부여]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ASSUMPTIO	{descript=[[아숨프티오 (Assumptio),[155,202,155]],[%s,[255,176,98]],[방어력 증가]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ASSUMPTIO2	{descript=[[아숨프티오 (Assumptio),[155,202,155]],[%s,[255,176,98]],[방어력 증가]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ATKER_ASPD	{descript=[[대환단,[155,202,155]],[%s,[255,176,98]],[MHP 증가],[HP 회복력 증가]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ATKER_BLOOD	{descript=[[SP 소모량 감소포션,[155,202,155]],[%s,[255,176,98]],[스킬 사용 SP 소모량 감소]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ATKER_MOVESPEED	{descript=[[태청단,[155,202,155]],[%s,[255,176,98]],[MSP 증가],[SP 회복력 증가]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ATTHASTE_CASH	{descript=[[ASPD 강화 포션,[155,202,155]],[%s,[255,176,98]],[공격속도 증가]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ATTHASTE_POTION1	{descript=[[집중의 포션,[155,202,155]],[%s,[255,176,98]],[공격속도 증가]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ATTHASTE_POTION2	{descript=[[각성의 포션,[155,202,155]],[%s,[255,176,98]],[공격속도 증가]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_ATTHASTE_POTION3	{descript=[[%s,[255,176,98]],[공격속도 증가]];haveTimeLimit=1;posTimeLimitStr=1}
EFST_AUTOBERSERK	{descript=[[오토 버서크 (Auto Berserk),[155,202,155]],[빈사 상태 시 분노]]}
EFST_AUTOGUARD	{descript=[[오토 가드 (Auto Guard),[155,202,155]],[%s,[255,176,98]],[근거리, 원거리 물리공격을 일정 확률로 막음]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_AUTOSHADOWSPELL	{descript=[[오토 섀도우 스펠,[155,202,155]],[%s,[255,176,98]],[도작, 리프로듀스로 배운],[마법 스킬 사용 가능]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_AUTOSPELL	{descript=[[오토 스펠 (Auto Spell),[155,202,155]],[%s,[255,176,98]],[일반 공격 중 확률에 따라],[선택된 스킬이 캐스팅 시간 없이 자동 발사],[SP 소모는 일반 사용 시의 2/3],[SP 부족 시 스킬 발동 불가]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_BANDING	{descript=[[밴딩,[155,202,155]],[%s,[255,176,98]],[밴딩 상태]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_BEEF_RIB_STEW	{descript=[[소갈비찜,[155,202,155]],[%s,[255,176,98]],[변동 캐스팅 감소.],[SP 소모량 감소.]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_BENEDICTIO	{descript=[[%s,[255,176,98]],[방어구에 성속성 부여]];haveTimeLimit=1;posTimeLimitStr=1}
EFST_BEYOND_OF_WARCRY	{descript=[[비욘드 오브 워 크라이,[155,202,155]],[%s,[255,176,98]],[물리 공격력 향상],[마법 공격력 하락]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_BLESSING	{descript=[[블레싱(Blessing),[155,202,155]],[%s,[255,176,98]],[DEX, INT, STR 증가],[사용 순간 저주나 석화상태 회복]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_BLOODING	{descript=[[출혈 상태,[155,202,155]],[%s,[255,176,98]],[HP, SP 회복 불가],[10초당 일정량의 HP 소실]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_BODYPAINT	{descript=[[바디 페인팅,[155,202,155]],[%s,[255,176,98]],[클로킹 상태 해제],[확률에 따라 암흑 발생],[확률에 따라 공격속도 감소]];haveTimeLimit=1;posTimeLimitStr=2}
EFST_BROKENARMOR	{descript=[[방어구 파괴 상태,[250,100,100]]]}
EFST_BROKENWEAPON	{descript=[[무기 파괴 상태,[250,100,100]]]}
EFST_BURNT	{descript=[[화상,[250,100,100]],[화속성 몬스터에게],[받는 데미지 증가],[화속성 내성 감소],[주기적인 화속성 데미지],[%s,[255,176,98]]];haveTimeLimit=1;posTimeLimitStr=6}
