skillId	SKID	name	target	castMs	actDelayMs	dur1Ms	effectFn	effectId	textures	castWav	geometry_anchor	clientEffectMs
5	SM_BASH	Bash	1	-	-	-	FUN_005c7c70	0x10	alpha_down.tga + alpha_center.tga	EF_Bash	impact flash + 20 sparks, caster	40
6	SM_PROVOKE	Provoke	1	0	0	30000	FUN_005d7d30	0x43	(none)	swordman\provoke	sound-only (f5,f30), torso	999
7	SM_MAGNUM	Magnum Break	4	0	0	2000	FUN_005c8040	0x11	ring_yellow.tga + 대폭발.tga	EF_MagnumBreak	2 shockwave rings + explosion, ground	30
8	SM_ENDURE	Endure	4	0	0	10000	FUN_005ca2b0	-	endure.tga (aura) + alpha_down.tga (motes)	EF_Endure	caster: shield glow + converging blue motes	(ext .str)
11	MG_NAPALMBEAT	Napalm Beat	1	1000	1000	0	FUN_005cc300	0x20	numbered 8-frame (DAT_006dc45c)	EF_NapalmBeat	violet motes scatter, ground pt	100
12	MG_SAFETYWALL	Safety Wall	2	4000	0	5000	FUN_005c6730	-	ring_blue.tga	EF_GlassWall	paired ground panels at cell	(ext .str)
13	MG_SOULSTRIKE	Soul Strike	1	500	1200	0	FUN_005c7920	0xf	soul .spr (DAT_006dbf2c)	EF_SoulStrike	billboard souls → target (per-lvl count, 1 per 11f)	100
14	MG_COLDBOLT	Cold Bolt	1	700	1000	0	FUN_005cae20	0x1a	icearrow.tga + ring_blue.tga	EF_IceArrow_%d	falling shards → target + blue hit-ring	160
15	MG_FROSTDIVER	Frost Diver	1	800	1500	0	FUN_005d3cf0/FUN_005cb720	0x1c	stone.bmp (travel) / ice.tga (8 crystals)	EF_FrostDiver / EF_FrostDiver2	shard travel + 8-crystal shatter on target	100
16	MG_STONECURSE	Stone Curse	1	1000	0	5000	FUN_005d3840	-	alpha_center.tga	EF_StoneCurse	grey-tint target + center flash	(ext .str)
17	MG_FIREBALL	Fire Ball	1	1500	1500	0	FUN_005cab90	0x18	(orange fireball blob)	EF_FireBall	billboard projectile	100
18	MG_FIREWALL	Fire Wall	2	2000	0	5000	FUN_005da5b0	0x2e	ring_black.tga + 4 fire streams (eid 0x13b)	EF_FireWall	flat ground quad row	180
19	MG_FIREBOLT	Fire Bolt	1	700	1000	0	FUN_005cab90	0x18	(orange fireball blob)	EF_FireBall	billboard projectile caster→target	100
20	MG_LIGHTNINGBOLT	Lightning Bolt	1	700	1000	0	FUN_005d0f50	0x5d	thunder_center.bmp + thunder_ball_a..f.bmp	(reuse shockwavetrap)	planar 6-frame bolt → target	250
21	MG_THUNDERSTORM	Thunderstorm	2	1000	2000	500	FUN_005cba90	0x83	DAT_006dc368 .spr	EF_ThunderStorm	ground column, server dur	9999
24	AL_RUWACH	Ruwach	4	0	0	10000	FUN_005d96c0	-	(caster .spr)	ac_concentration	caster torso	(ext .str)
26	AL_TELEPORT	Teleport	4	0	0	0	FUN_005cc830	-	ring_blue.tga	EF_Teleportation	caster: blue flash ring	(ext .str)
27	AL_WARP	Warp Portal	2	1000	0	5000	FUN_005cc990 / FUN_006070f0	-	ring_blue.tga	EF_ReadyPortal / EF_Portal	open: expanding rings /14f; enter: vortex column	(ext .str)
28	AL_HEAL	Heal	16	0	1000	0	FUN_005c7360	-	alpha_down.tga (3 rings) + heal sparkle .spr	_heal_effect	target: 3 expanding rings + green sparkles	(ext .str)
29	AL_INCAGI	Increase AGI	16	1000	1000	60000	FUN_005cced0	-	agi_up.bmp (plume) + ac_center2.tga (sparks)	EF_IncAgility	target: rising glow plume + up-sparks	(ext .str)
30	AL_DECAGI	Decrease AGI	1	1000	1000	40000	FUN_005cd2b0	-	slow.bmp + ac_center2.tga (down)	EF_DecAgility	target: sinking glow + down-sparks	(ext .str)
31	AL_HOLYWATER	Aqua Benedicta	4	1000	500	0	FUN_005cd6a0	-	water-splash .spr (DAT_006dc4e0)	EF_Aqua	caster, one-shot	(ext .str)
33	AL_ANGELUS	Angelus	4	500	3500	30000	FUN_005d77a0	0x29	(halo .str)	EF_Angelus	torso	999
34	AL_BLESSING	Blessing	16	0	0	60000	FUN_005c6af0	-	alpha_down.tga (halo) + blue runes	EF_Blessing	target: halo ring + orbiting motes	(ext .str)
35	AL_CURE	Cure	16	0	1000	0	FUN_005d7c50	0x42	(.str)	Acolyte_cure	target torso	999
50	TF_STEAL	Steal	1	-	-	-	FUN_005c8400	-	sparkle (DAT_006dc110, type6)	EF_Steal	10 gold sparkle motes, caster	(ext .str)
52	TF_POISON	Envenom	1	0	0	0	FUN_005d7cc0	-	(.str)	thief\invenom	torso	(ext .str)
53	TF_DETOXIFY	Detoxify	16	-	-	-	FUN_005c8710	-	green motes (DAT_006dc060, type5)	EF_Detoxication	40 green cure motes, caster	(ext .str)
54	ALL_RESURRECTION	Resurrection	16	6000	0	0	FUN_005d7f40	0x4d	(light column .str)	priest\resurrection	target	999
60	KN_TWOHANDQUICKEN	Twohand Quicken	4	0	0	30000	FUN_005d9640	-	(none)	knight\twohandquicken	sound-only self-buff	(ext .str)
61	KN_AUTOCOUNTER	Counter Attack	4	0	0	400	FUN_005d93a0	-	(none)	knight\autocounter	sound-only stance	(ext .str)
66	PR_IMPOSITIO	Impositio Manus	16	0	3000	60000	FUN_005d85c0	0x54	(.str)	priest\impositio	torso, sound @ f60	999
67	PR_SUFFRAGIUM	Suffragium	16	0	2000	30000	FUN_005d8630	0x58	(.str)	priest\suffragium	torso	999
68	PR_ASPERSIO	Aspersio	16	0	2000	60000	FUN_005d88b0	0x56	holy sparkle (DAT_006dbf2c, type7)	priest\aspersio	~14 sparkle motes f65-135, sound f70	999
69	PR_BENEDICTIO	B.S. Sacramenti	2	0	0	40000	FUN_005d8ac0	0x5b	(.str)	priest\benedictio	torso	9999
70	PR_SANCTUARY	Sanctuary	2	5000	0	4000	FUN_005d8020	0x53	(ground .str)	priest\sanctuary	ground AoE, torso cue	999
72	PR_STRECOVERY	Status Recovery	16	0	2000	0	FUN_005d7fb0	0x4e	(.str)	priest\recovery	target	999
73	PR_KYRIE	Kyrie Eleison	16	2000	2000	120000	FUN_005d9200	0x70	(shield .str)	priest\kyrie_eleison_a/b	torso barrier, 2-stage sound f0/f15	999
74	PR_MAGNIFICAT	Magnificat	4	4000	2000	30000	FUN_005d7ed0	0x4c	(.str)	priest\magnificat	torso	999
75	PR_GLORIA	Gloria	4	0	2000	10000	FUN_005d7e60	0x4b	(.str)	priest\gloria	torso	999
76	PR_LEXDIVINA	Lex Divina	1	0	3000	30000	FUN_005d86a0	0x57	(.str)	priest\lexdivina	target, 5 tolls f0/20/35/60/70	999
77	PR_TURNUNDEAD	Turn Undead	1	1000	3000	0	None	-	(.str)		data-driven	(ext .str)
78	PR_LEXAETERNA	Lex Aeterna	1	0	3000	600000	FUN_005d8840	0x55	(.str)	priest\lexaeterna	target, sound @ f15	999
