str	version	fps	maxKey	layers	frames	textures	blend(src/dst)
10mon.str	148	60	120	6	25	10tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
11mon.str	148	60	120	6	25	11tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
12mon.str	148	60	120	6	25	12tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
13123123.str	148	60	480	10	57	hikari2.bmp;hikari3.bmp;masterk.tga	0/0;5/6;5/7
13mon.str	148	60	120	6	25	13tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
14mon.str	148	60	120	6	25	14tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
15mon.str	148	60	120	6	25	15tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
16mon.str	148	60	120	6	25	16tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
17mon.str	148	60	120	6	25	17tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
18mon.str	148	60	120	6	25	18tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
19mon.str	148	60	120	6	25	19tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
1mon.str	148	60	120	4	15	1tiers.tga;tiere.TGA	0/0;5/6;5/7
20mon.str	148	60	120	6	25	20tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
20th_f.str	148	60	205	28	168	16tex	0/0;5/6;5/7
2mon.str	148	60	120	4	15	2tiers.TGA;tiere.TGA	0/0;5/6;5/7
3mon.str	148	60	120	4	15	3tiers.tga;tiere.TGA	0/0;5/6;5/7
4mon.str	148	60	120	5	20	4tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
5mon.str	148	60	120	5	20	5tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
6mon.str	148	60	120	6	25	6tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
7mon.str	148	60	120	6	25	7tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
8mon.str	148	60	120	6	25	8tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
9mon.str	148	60	120	6	25	9tiers.tga;hikari2.bmp;tiere.TGA	0/0;5/6;5/7
_devil.str	148	60	139	8	235	19tex	0/0;12/12;5/7;7/5
a_machine_attack.str	148	60	59	48	249	29tex	0/0;5/6;5/7
a_machine_attack_waiting.str	148	60	71	27	180	22tex	0/0;5/6;5/7
a_machine_cast.str	148	60	69	20	65	19tex	0/0;1/6;5/6;5/7
a_machine_hit.str	148	60	25	4	11	18tex	0/0;5/6;5/7
a_machine_waiting.str	148	60	59	17	80	10tex	0/0;5/6;5/7
ab_offertorium.str	148	60	105	35	808	6tex	0/0;5/7
ab_offertorium_ring.str	148	60	120	4	27	preist_resurrection_ring.bmp	0/0;5/7
abyss_dagger.str	148	60	24	7	26	22tex	0/0;5/6;5/7
abyss_dagger_hit.str	148	60	16	15	56	13tex	0/0;5/6;5/7
abyss_slayer.str	148	60	50	9	40	10tex	0/0;5/6;5/7
abyss_slayer_cast.str	148	60	58	11	30	19tex	0/0;5/6;5/7
abyss_slayer_cast_bottom.str	148	60	60	3	10	10tex	0/0;5/6
abyss_square.str	148	60	66	8	21	10tex	0/0;5/6
abyss_square_bottom.str	148	60	66	6	15	23tex	0/0;5/6;5/7
abyss_square_hit.str	148	60	16	13	50	11tex	0/0;5/6;5/7
abyss_strike.str	148	60	53	10	29	28tex	0/0;5/6;5/7
abyss_strike_bottom.str	148	60	53	6	21	aby_glow_01.bmp;aby_ground_01.bmp;aby_ground_01.tga;aby_hit_sub_00.bmp	0/0;5/6;5/7
abyss_strike_cast.str	148	60	33	2	3	11tex	0/0;5/6
abyss_strike_cast_bottom.str	148	60	60	14	55	aby_aura_bottom_01.bmp;aby_aura_bottom_01.tga;aby_glow_bottom_01.bmp;aby_glow_sub_bottom_01.tga	0/0;5/6;5/7
abyss_strike_ground.str	148	60	59	26	111	17tex	0/0;5/6;5/7
abyss_strike_ground_bottom.str	148	60	59	3	6	aby_ground_01.bmp;aby_ground_01.tga	0/0;5/6;5/7
abyss_strike_hit.str	148	60	23	5	14	19tex	0/0;5/6;5/7
ac_concentration.str	148	60	50	10	31	lens_b.bmp;pokjuk_c.bmp;pokjuk_d.bmp	0/0;5/7
acidified_zone_fire_a_loop.str	148	60	40	10	39	20tex	0/0;5/7
acidified_zone_fire_a_loop_bottom.str	148	60	40	3	6	aci_ground.bmp;aci_ground.tga	0/0;5/6;5/7
acidified_zone_fire_a_start.str	148	60	5	2	3	aci_fire_b_00.bmp;aci_fire_b_01.bmp	0/0;5/7
acidified_zone_fire_a_start_bottom.str	148	60	5	3	6	aci_ground.bmp;aci_ground.tga	0/0;5/6;5/7
acidified_zone_fire_b.str	148	60	39	11	40	27tex	0/0;5/6;5/7
